Артикул  ,Название  ,Описание,Цена,Вес,"одежда>>платья>>дневное,тренд,бренд",Цвет/Картинка,Материал,Размер,Мужской/Женский,Img1,Col1,Img2,Col2,Img3,Col3,Img4,Col4,Img5,Col5,Img6,Col6,Img7,Col7,Img8,Col8,Img9,Col9,Img10,Col10,Catalog,Trend,Brend,Картинка,Цвет
10091434,цветочное платье,"доставка по всему миру!(15-20 дней) предоплата по Украине 50%доставка рассчитывается автоматически системой сайта ,по тарифам международной службы доставки EMS cn, непосредственно при оформлении заказа, и в стоимость товара не включена",124,0.46,"одежда>>платья>>коктейльные,Цветочные принты,Anna Sui ","10091434-1.jpg||10091434-2.jpg,G1||I4","хлопок,полиэстер ","S, M, L ",Женский,10091434-1.jpg,G1,10091434-2.jpg,I4,,,,,,,,,,,,,,,,,одежда>>платья>>коктейльные,Цветочные принты,Anna Sui ,10091434-1.jpg||10091434-2.jpg,G1||I4
10091427,платье с бахромой и геометрическим орнаментом,"доставка по всему миру!(15-20 дней) предоплата по Украине 50%доставка рассчитывается автоматически системой сайта ,по тарифам международной службы доставки EMS cn, непосредственно при оформлении заказа, и в стоимость товара не включена",128,0.47,"одежда>>платья>>casual,Геометрические орнаменты,Anna Sui","10091427-1.jpg,K4","шерсть,полиэстер ","S, M, L ",Женский,10091427-1.jpg,K4,,,,,,,,,,,,,,,,,,,одежда>>платья>>casual,Геометрические орнаменты,Anna Sui,10091427-1.jpg,K4
10091347,леопардовое платье с поясом,"доставка по всему миру!(15-20 дней) предоплата по Украине 50%доставка рассчитывается автоматически системой сайта ,по тарифам международной службы доставки EMS cn, непосредственно при оформлении заказа, и в стоимость товара не включена",144,0.6,"одежда>>платья>>casual,Звериные принты,Anna Sui","10091347-1.jpg||10091347-2.jpg,L1||N1",PU ,"S, M, L ",Женский,10091347-1.jpg,L1,10091347-2.jpg,N1,,,,,,,,,,,,,,,,,одежда>>платья>>casual,Звериные принты,Anna Sui,10091347-1.jpg||10091347-2.jpg,L1||N1
10090310,хлопоковое платье с геометрическим принтом,"доставка по всему миру!(15-20 дней) предоплата по Украине 50%доставка рассчитывается автоматически системой сайта ,по тарифам международной службы доставки EMS cn, непосредственно при оформлении заказа, и в стоимость товара не включена",128,0.5,"одежда>>платья>>casual,Геометрические орнаменты,Anna Sui","10090310-1.jpg||10090310-2.jpg,B5||N1",хлопок ,"2,4,6 ",Женский,10090310-1.jpg,B5,10090310-2.jpg,N1,,,,,,,,,,,,,,,,,одежда>>платья>>casual,Геометрические орнаменты,Anna Sui,10090310-1.jpg||10090310-2.jpg,B5||N1
10083023,шерстяное платье в мелкий горох,"доставка по всему миру!(15-20 дней) предоплата по Украине 50%доставка рассчитывается автоматически системой сайта ,по тарифам международной службы доставки EMS cn, непосредственно при оформлении заказа, и в стоимость товара не включена",137,0.46,"одежда>>платья>>casual,Винтаж,Anna Sui","10083023-1.jpg||10083023-2.jpg||10083023-3.jpg,N3||N1||A4",шерсть,"2,4,6 ",Женский,10083023-1.jpg,N3,10083023-2.jpg,N1,10083023-3.jpg,A4,,,,,,,,,,,,,,,одежда>>платья>>casual,Винтаж,Anna Sui,10083023-1.jpg||10083023-2.jpg||10083023-3.jpg,N3||N1||A4
10081735,платье с бантами,"доставка по всему миру!(15-20 дней) предоплата по Украине 50%доставка рассчитывается автоматически системой сайта ,по тарифам международной службы доставки EMS cn, непосредственно при оформлении заказа, и в стоимость товара не включена",116,0.5,"одежда>>платья>>коктейльные,Банты,Anna Sui ","10081735-1.jpg||10081735-2.jpg,D4||N1","шерсть,хлопок ","S, M, L ",Женский,10081735-1.jpg,D4,10081735-2.jpg,N1,,,,,,,,,,,,,,,,,одежда>>платья>>коктейльные,Банты,Anna Sui ,10081735-1.jpg||10081735-2.jpg,D4||N1
10080614,платье объемная геометрия,"доставка по всему миру!(15-20 дней) предоплата по Украине 50%доставка рассчитывается автоматически системой сайта ,по тарифам международной службы доставки EMS cn, непосредственно при оформлении заказа, и в стоимость товара не включена",132,0.5,"одежда>>платья>>casual,Геометрические орнаменты,Anna Sui","10080614-1.jpg,N1","хлопок,шелк","S, M, L ",Женский,10080614-1.jpg,N1,,,,,,,,,,,,,,,,,,,одежда>>платья>>casual,Геометрические орнаменты,Anna Sui,10080614-1.jpg,N1
10072243,шелковое платье,"доставка по всему миру!(15-20 дней) предоплата по Украине 50%доставка рассчитывается автоматически системой сайта ,по тарифам международной службы доставки EMS cn, непосредственно при оформлении заказа, и в стоимость товара не включена",137,0.5,"одежда>>платья>>casual,Платья-рубашки,Anna Sui","10072243-1.jpg||10072243-3.jpg,N1||B5",шелк,"S, M, L ",Женский,10072243-1.jpg,N1,10072243-3.jpg,B5,,,,,,,,,,,,,,,,,одежда>>платья>>casual,Платья-рубашки,Anna Sui,10072243-1.jpg||10072243-3.jpg,N1||B5
10070825,длинное хлопковое платье,"доставка по всему миру!(15-20 дней) предоплата по Украине 50%доставка рассчитывается автоматически системой сайта ,по тарифам международной службы доставки EMS cn, непосредственно при оформлении заказа, и в стоимость товара не включена",124,0.5,"одежда>>платья>>casual,Геометрические орнаменты,Anna Sui","10070825-1.jpg,E1",хлопок,M,Женский,10070825-1.jpg,E1,,,,,,,,,,,,,,,,,,,одежда>>платья>>casual,Геометрические орнаменты,Anna Sui,10070825-1.jpg,E1
10062147,шелковое платье с поясом-цветком,"доставка по всему миру!(15-20 дней) предоплата по Украине 50%доставка рассчитывается автоматически системой сайта ,по тарифам международной службы доставки EMS cn, непосредственно при оформлении заказа, и в стоимость товара не включена",124,0.5,"одежда>>платья>>коктейльные,Звездный стиль,Anna Sui ","10062147-1.jpg||10062147-2.jpg,E3||B1",шелк,M,Женский,10062147-1.jpg,E3,10062147-2.jpg,B1,,,,,,,,,,,,,,,,,одежда>>платья>>коктейльные,Звездный стиль,Anna Sui ,10062147-1.jpg||10062147-2.jpg,E3||B1
10060842,шелковое платье расшитое клепками,"доставка по всему миру!(15-20 дней) предоплата по Украине 50%доставка рассчитывается автоматически системой сайта ,по тарифам международной службы доставки EMS cn, непосредственно при оформлении заказа, и в стоимость товара не включена",122,0.5,"одежда>>платья>>коктейльные,Звездный стиль,Anna Sui ","10060842-1.jpg||10060842-2.jpg||10060842-3.jpg||10060842-4.jpg,F2||M4||A5||N1",шелк,M,Женский,10060842-1.jpg,F2,10060842-2.jpg,M4,10060842-3.jpg,A5,10060842-4.jpg,N1,,,,,,,,,,,,,одежда>>платья>>коктейльные,Звездный стиль,Anna Sui ,10060842-1.jpg||10060842-2.jpg||10060842-3.jpg||10060842-4.jpg,F2||M4||A5||N1
6161,кожаная сумка Prada Napa большая,"доставка по всему миру!(15-20 дней) предоплата по Украине 50%доставка рассчитывается автоматически системой сайта ,по тарифам международной службы доставки EMS cn, непосредственно при оформлении заказа, и в стоимость товара не включена",188,1,"сумки>>повседневные>>Элегантность кожи,Prada","6161.jpg||6161-1.jpg||6161-2.jpg||6161-3.jpg||6161-4.jpg,M3||M3||M3||M3||M3",кожа,41*39,Женский,6161.jpg,M3,6161-1.jpg,M3,6161-2.jpg,M3,6161-3.jpg,M3,6161-4.jpg,M3,,,,,,,,,,,сумки>>повседневные>>Элегантность кожи,,Prada,6161.jpg||6161-1.jpg||6161-2.jpg||6161-3.jpg||6161-4.jpg,M3||M3||M3||M3||M3
6160,кожаная сумка  Prada Napa маленькая,"доставка по всему миру!(15-20 дней) предоплата по Украине 50%доставка рассчитывается автоматически системой сайта ,по тарифам международной службы доставки EMS cn, непосредственно при оформлении заказа, и в стоимость товара не включена",188,1,"сумки>>повседневные>>Элегантность кожи,Prada","6160.jpg||6160-1.jpg||6160-2.jpg||6160-3.jpg,N1||N1||N1||N1",кожа,33*38,Женский,6160.jpg,N1,6160-1.jpg,N1,6160-2.jpg,N1,6160-3.jpg,N1,,,,,,,,,,,,,сумки>>повседневные>>Элегантность кожи,,Prada,6160.jpg||6160-1.jpg||6160-2.jpg||6160-3.jpg,N1||N1||N1||N1
6158,сумка Prada змеиная кожа,"доставка по всему миру!(15-20 дней) предоплата по Украине 50%доставка рассчитывается автоматически системой сайта ,по тарифам международной службы доставки EMS cn, непосредственно при оформлении заказа, и в стоимость товара не включена",229,1,"сумки>>повседневные>>Звериные принты,Prada","6158.jpg||6158-1.jpg||6158-2.jpg||6158-3.jpg||6158-4.jpg,M2||M2||M2||M2",кожа,42*28*13,Женский,6158.jpg,M2,6158-1.jpg,M2,6158-2.jpg,M2,6158-3.jpg,M2,,,,,,,,,,,,,сумки>>повседневные>>Звериные принты,,Prada,6158.jpg||6158-1.jpg||6158-2.jpg||6158-3.jpg||6158-4.jpg,M2||M2||M2||M2
